geoid10,dorm_share,military_share,other_share
530330002001007,0.00,0.00,1.00
530330002001008,0.00,0.00,1.00
530330002001009,0.00,0.00,1.00
530330002001010,0.00,0.00,1.00
530330002001011,0.00,0.00,1.00
530330002001012,0.00,0.00,1.00
530330002001013,0.00,0.00,1.00
530330002001014,0.00,0.00,1.00
530330002001015,0.00,0.00,1.00
530330002001016,0.00,0.00,1.00
530330002001017,0.00,0.00,1.00
530330002001018,0.00,0.00,1.00
530330002002000,0.00,0.00,1.00
530330002002001,0.00,0.00,1.00
530330002002002,0.00,0.00,1.00
530330002002003,0.00,0.00,1.00
530330002002004,0.00,0.00,1.00
530330002002005,0.00,0.00,1.00
530330002002006,0.00,0.00,1.00
530330002002007,0.00,0.00,1.00
530330002002008,0.00,0.00,1.00
530330002002009,0.00,0.00,1.00
530330002002010,0.00,0.00,1.00
530330002002011,0.00,0.00,1.00
530330002002012,0.00,0.00,1.00
530330002002013,0.00,0.00,1.00
530330002002014,0.00,0.00,1.00
530330002002015,0.00,0.00,1.00
530330002003000,0.00,0.00,1.00
530330002003001,0.00,0.00,1.00
530330002003002,0.00,0.00,1.00
530330002003003,0.00,0.00,1.00
530330002003004,0.00,0.00,1.00
530330002003005,0.00,0.00,1.00
530330002003006,0.00,0.00,1.00
530330002003007,0.00,0.00,1.00
530330002004000,0.00,0.00,1.00
530330002004001,0.00,0.00,1.00
530330002004002,0.00,0.00,1.00
530330002004003,0.00,0.00,1.00
530330002004004,0.00,0.00,1.00
530330002004005,0.00,0.00,1.00
530330002004006,0.00,0.00,1.00
530330002004007,0.00,0.00,1.00
530330002004008,0.00,0.00,1.00
530330002004009,0.00,0.00,1.00
530330002004010,0.00,0.00,1.00
530330002004011,0.00,0.00,1.00
530330002004012,0.00,0.00,1.00
530330002004013,0.00,0.00,1.00
530330002004014,0.00,0.00,1.00
530330002005000,0.00,0.00,1.00
530330002005001,0.00,0.00,1.00
530330002005002,0.00,0.00,1.00
530330002005003,0.00,0.00,1.00
530330002005004,0.00,0.00,1.00
530330002005005,0.00,0.00,1.00
530330002005006,0.00,0.00,1.00
530330002005007,0.00,0.00,1.00
530330002005008,0.00,0.00,1.00
530330002005009,0.00,0.00,1.00
530330002005010,0.00,0.00,1.00
530330002006000,0.00,0.00,1.00
530330002006001,0.00,0.00,1.00
530330002006002,0.00,0.00,1.00
530330002006003,0.00,0.00,1.00
530330002006004,0.00,0.00,1.00
530330002006005,0.00,0.00,1.00
530330002006006,0.00,0.00,1.00
530330002006007,0.00,0.00,1.00
530330002006008,0.00,0.00,1.00
530330002006009,0.00,0.00,1.00
530330002006010,0.00,0.00,1.00
530330002006011,0.00,0.00,1.00
530330002006012,0.00,0.00,1.00
530330002006013,0.00,0.00,1.00
530330002006014,0.00,0.00,1.00
530330002006015,0.00,0.00,1.00
530330002006016,0.00,0.00,1.00
530330002006017,0.00,0.00,1.00
530330002006018,0.00,0.00,1.00
530330002006019,0.00,0.00,1.00
530330002006020,0.00,0.00,1.00
530330002006021,0.00,0.00,1.00
530330002006022,0.00,0.00,1.00
530330002006023,0.00,0.00,1.00
530330002006024,0.00,0.00,1.00
530330002006025,0.00,0.00,1.00
530330002006026,0.00,0.00,1.00
530330002006027,0.00,0.00,1.00
530330003001000,0.00,0.00,1.00
530330003001001,0.00,0.00,1.00
530330003001002,0.00,0.00,1.00
530330003001003,0.00,0.00,1.00
530330003001004,0.00,0.00,1.00
530330003001005,0.00,0.00,1.00
530330003001006,0.00,0.00,1.00
530330003001007,0.00,0.00,1.00
530330003001008,0.00,0.00,1.00
530330003001009,0.00,0.00,1.00
530330003001010,0.00,0.00,1.00
530330003001011,0.00,0.00,1.00
530330003001012,0.00,0.00,1.00
530330003001013,0.00,0.00,1.00
530330003001014,0.00,0.00,1.00
530330003001015,0.00,0.00,1.00
530330003001016,0.00,0.00,1.00
530330003001017,0.00,0.00,1.00
530330003001018,0.00,0.00,1.00
530330003001019,0.00,0.00,1.00
530330003001020,0.00,0.00,1.00
530330003001021,0.00,0.00,1.00
530330003001022,0.00,0.00,1.00
530330003001023,0.00,0.00,1.00
530330003001024,0.00,0.00,1.00
530330003001025,0.00,0.00,1.00
530330003001026,0.00,0.00,1.00
530330003001027,0.00,0.00,1.00
530330003001028,0.00,0.00,1.00
530330003001029,0.00,0.00,1.00
530330003001030,0.00,0.00,1.00
530330003001031,0.00,0.00,1.00
530330003001032,0.00,0.00,1.00
530330003001033,0.00,0.00,1.00
530330003001034,0.00,0.00,1.00
530330003001035,0.00,0.00,1.00
530330003002000,0.00,0.00,1.00
530330003002001,0.00,0.00,1.00
530330003002002,0.00,0.00,1.00
530330003002003,0.00,0.00,1.00
530330003002004,0.00,0.00,1.00
530330003002005,0.00,0.00,1.00
530330003002006,0.00,0.00,1.00
530330003002007,0.00,0.00,1.00
530330003002008,0.00,0.00,1.00
530330003002009,0.00,0.00,1.00
530330003002010,0.00,0.00,1.00
530330003002011,0.00,0.00,1.00
530330003002012,0.00,0.00,1.00
530330003002013,0.00,0.00,1.00
530330003002014,0.00,0.00,1.00
530330003002015,0.00,0.00,1.00
530330003002016,0.00,0.00,1.00
530330003002017,0.00,0.00,1.00
530330003002018,0.00,0.00,1.00
530330003002019,0.00,0.00,1.00
530330003002020,0.00,0.00,1.00
530330003002021,0.00,0.00,1.00
530330003002022,0.00,0.00,1.00
530330003002023,0.00,0.00,1.00
530330003002024,0.00,0.00,1.00
530330003002025,0.00,0.00,1.00
530330003002026,0.00,0.00,1.00
530330003002027,0.00,0.00,1.00
530330003002028,0.00,0.00,1.00
530330003002029,0.00,0.00,1.00
530330003002030,0.00,0.00,1.00
530330003002031,0.00,0.00,1.00
530330004011000,0.00,0.00,1.00
530330004011001,0.00,0.00,1.00
530330004011002,0.00,0.00,1.00
530330004011003,0.00,0.00,1.00
530330004011004,0.00,0.00,1.00
530330004011005,0.00,0.00,1.00
530330004011006,0.00,0.00,1.00
530330004011007,0.00,0.00,1.00
530330004011008,0.00,0.00,1.00
530330004011009,0.00,0.00,1.00
530330004012000,0.00,0.00,1.00
530330004012001,0.00,0.00,1.00
530330004012002,0.00,0.00,1.00
530330004012003,0.00,0.00,1.00
530330004012004,0.00,0.00,1.00
530330004012005,0.00,0.00,1.00
530330004012006,0.00,0.00,1.00
530330004012007,0.00,0.00,1.00
530330004012008,0.00,0.00,1.00
530330004012009,0.00,0.00,1.00
530330004012010,0.00,0.00,1.00
530330004012011,0.00,0.00,1.00
530330004012012,0.00,0.00,1.00
530330004012013,0.00,0.00,1.00
530330004012014,0.00,0.00,1.00
530330004012015,0.00,0.00,1.00
530330004012016,0.00,0.00,1.00
530330004012017,0.00,0.00,1.00
530330004013000,0.00,0.00,1.00
530330004013001,0.00,0.00,1.00
530330004013002,0.00,0.00,1.00
530330004013003,0.00,0.00,1.00
530330004021000,0.00,0.00,1.00
530330004021001,0.00,0.00,1.00
530330004021002,0.00,0.00,1.00
530330004021003,0.00,0.00,1.00
530330004021004,0.00,0.00,1.00
530330004021005,0.00,0.00,1.00
530330004021006,0.00,0.00,1.00
530330004021007,0.00,0.00,1.00
530330004021008,0.00,0.00,1.00
530330004021009,0.00,0.00,1.00
530330004021010,0.00,0.00,1.00
530330004021011,0.00,0.00,1.00
530330004021012,0.00,0.00,1.00
530330004021013,0.00,0.00,1.00
530330004021014,0.00,0.00,1.00
530330004022000,0.00,0.00,1.00
530330004022001,0.00,0.00,1.00
530330004022002,0.00,0.00,1.00
530330004022003,0.00,0.00,1.00
530330004022004,0.00,0.00,1.00
530330004022005,0.00,0.00,1.00
530330004022006,0.00,0.00,1.00
530330004022007,0.00,0.00,1.00
530330004022008,0.00,0.00,1.00
530330004022009,0.00,0.00,1.00
530330004022010,0.00,0.00,1.00
530330004022011,0.00,0.00,1.00
530330004022012,0.00,0.00,1.00
530330004022013,0.00,0.00,1.00
530330004022014,0.00,0.00,1.00
530330004022015,0.00,0.00,1.00
530330004022016,0.00,0.00,1.00
530330004023000,0.00,0.00,1.00
530330004023001,0.00,0.00,1.00
530330004023002,0.00,0.00,1.00
530330004023003,0.00,0.00,1.00
530330004023004,0.00,0.00,1.00
530330004023005,0.00,0.00,1.00
530330004023006,0.00,0.00,1.00
530330004023007,0.00,0.00,1.00
530330004023008,0.00,0.00,1.00
530330004023009,0.00,0.00,1.00
530330004023010,0.00,0.00,1.00
530330004023011,0.00,0.00,1.00
530330004023012,0.00,0.00,1.00
530330004023013,0.00,0.00,1.00
530330004023014,0.00,0.00,1.00
530330004023015,0.00,0.00,1.00
530330004023016,0.00,0.00,1.00
530330004023017,0.00,0.00,1.00
530330004023018,0.00,0.00,1.00
530330004024000,0.00,0.00,1.00
530330004024001,0.00,0.00,1.00
530330004024002,0.00,0.00,1.00
530330004024003,0.00,0.00,1.00
530330004024004,0.00,0.00,1.00
530330004024005,0.00,0.00,1.00
530330004024006,0.00,0.00,1.00
530330004024007,0.00,0.00,1.00
530330004024008,0.00,0.00,1.00
530330004024009,0.00,0.00,1.00
530330004024010,0.00,0.00,1.00
530330004024011,0.00,0.00,1.00
530330004024012,0.00,0.00,1.00
530330004024013,0.00,0.00,1.00
530330004024014,0.00,0.00,1.00
530330004024015,0.00,0.00,1.00
530330004024016,0.00,0.00,1.00
530330004024017,0.00,0.00,1.00
530330004024018,0.00,0.00,1.00
530330004024019,0.00,0.00,1.00
530330005001000,0.00,0.00,1.00
530330005001001,0.00,0.00,1.00
530330005001002,0.00,0.00,1.00
530330005001003,0.00,0.00,1.00
530330005001004,0.00,0.00,1.00
530330005001005,0.00,0.00,1.00
530330005001006,0.00,0.00,1.00
530330005001007,0.00,0.00,1.00
530330005001008,0.00,0.00,1.00
530330005001009,0.00,0.00,1.00
530330005001010,0.00,0.00,1.00
530330005001011,0.00,0.00,1.00
530330005001012,0.00,0.00,1.00
530330005001013,0.00,0.00,1.00
530330005001014,0.00,0.00,1.00
530330005001015,0.00,0.00,1.00
530330005001016,0.00,0.00,1.00
530330005001017,0.00,0.00,1.00
530330005001018,0.00,0.00,1.00
530330005001019,0.00,0.00,1.00
530330005001020,0.00,0.00,1.00
530330005002000,0.00,0.00,1.00
530330005002001,0.00,0.00,1.00
530330005002002,0.00,0.00,1.00
530330005002003,0.00,0.00,1.00
530330005002004,0.00,0.00,1.00
530330005002005,0.00,0.00,1.00
530330005002006,0.00,0.00,1.00
530330005002007,0.00,0.00,1.00
530330005002008,0.00,0.00,1.00
530330005002009,0.00,0.00,1.00
530330005002010,0.00,0.00,1.00
530330005002011,0.00,0.00,1.00
530330005002012,0.00,0.00,1.00
530330005002013,0.00,0.00,1.00
530330005002014,0.00,0.00,1.00
530330005002015,0.00,0.00,1.00
530330005002016,0.00,0.00,1.00
530330005002017,0.00,0.00,1.00
530330005002018,0.00,0.00,1.00
530330005002019,0.00,0.00,1.00
530330005003000,0.00,0.00,1.00
530330005003001,0.00,0.00,1.00
530330005003002,0.00,0.00,1.00
530330005003003,0.00,0.00,1.00
530330005003004,0.00,0.00,1.00
530330005003005,0.00,0.00,1.00
530330005003006,0.00,0.00,1.00
530330005003007,0.00,0.00,1.00
530330005003008,0.00,0.00,1.00
530330005003009,0.00,0.00,1.00
530330005003010,0.00,0.00,1.00
530330005003011,0.00,0.00,1.00
530330005003012,0.00,0.00,1.00
530330005003013,0.00,0.00,1.00
530330005003014,0.00,0.00,1.00
530330005003015,0.00,0.00,1.00
530330005003016,0.00,0.00,1.00
530330005003017,0.00,0.00,1.00
530330005003018,0.00,0.00,1.00
530330006001000,0.00,0.00,1.00
530330006001001,0.00,0.00,1.00
530330006001002,0.00,0.00,1.00
530330006001003,0.00,0.00,1.00
530330006001004,0.00,0.00,1.00
530330006001005,0.00,0.00,1.00
530330006001006,0.00,0.00,1.00
530330006001007,0.00,0.00,1.00
530330006001008,0.00,0.00,1.00
530330006001009,0.00,0.00,1.00
530330006001010,0.00,0.00,1.00
530330006001011,0.00,0.00,1.00
530330006001012,0.00,0.00,1.00
530330006001013,0.00,0.00,1.00
530330006001014,0.00,0.00,1.00
530330006001015,0.00,0.00,1.00
530330006001016,0.00,0.00,1.00
530330006001017,0.00,0.00,1.00
530330006001018,0.00,0.00,1.00
530330006001019,0.00,0.00,1.00
530330006001020,0.00,0.00,1.00
530330006001021,0.00,0.00,1.00
530330006001022,0.00,0.00,1.00
530330006001023,0.00,0.00,1.00
530330006001024,0.00,0.00,1.00
530330006002000,0.00,0.00,1.00
530330006002001,0.00,0.00,1.00
530330006002002,0.00,0.00,1.00
530330006002003,0.00,0.00,1.00
530330006002004,0.00,0.00,1.00
530330006002005,0.00,0.00,1.00
530330006002006,0.00,0.00,1.00
530330006003000,0.00,0.00,1.00
530330006003001,0.00,0.00,1.00
530330006003002,0.00,0.00,1.00
530330006003003,0.00,0.00,1.00
530330006003004,0.00,0.00,1.00
530330006003005,0.00,0.00,1.00
530330006003006,0.00,0.00,1.00
530330006003007,0.00,0.00,1.00
530330006003008,0.00,0.00,1.00
530330006003009,0.00,0.00,1.00
530330006003010,0.00,0.00,1.00
530330006003011,0.00,0.00,1.00
530330006003012,0.00,0.00,1.00
530330006003013,0.00,0.00,1.00
530330006003014,0.00,0.00,1.00
530330006003015,0.00,0.00,1.00
530330006003016,0.00,0.00,1.00
530330006003017,0.00,0.00,1.00
530330006004000,0.00,0.00,1.00
530330006004001,0.00,0.00,1.00
530330006004002,0.00,0.00,1.00
530330006004003,0.00,0.00,1.00
530330006004004,0.00,0.00,1.00
530330006004005,0.00,0.00,1.00
530330006004006,0.00,0.00,1.00
530330006004007,0.00,0.00,1.00
530330006004008,0.00,0.00,1.00
530330006004009,0.00,0.00,1.00
530330006004010,0.00,0.00,1.00
530330006004011,0.00,0.00,1.00
530330006004012,0.00,0.00,1.00
530330006004013,0.00,0.00,1.00
530330006004014,0.00,0.00,1.00
530330006004015,0.00,0.00,1.00
530330006004016,0.00,0.00,1.00
530330006004017,0.00,0.00,1.00
530330006004018,0.00,0.00,1.00
530330006004019,0.00,0.00,1.00
530330006004020,0.00,0.00,1.00
530330006004021,0.00,0.00,1.00
530330006004022,0.00,0.00,1.00
530330006004023,0.00,0.00,1.00
530330006004024,0.00,0.00,1.00
530330006004025,0.00,0.00,1.00
530330006004026,0.00,0.00,1.00
530330006004027,0.00,0.00,1.00
530330006004028,0.00,0.00,1.00
530330006004029,0.00,0.00,1.00
530330006004030,0.00,0.00,1.00
530330006005000,0.00,0.00,1.00
530330006005001,0.00,0.00,1.00
530330006005002,0.00,0.00,1.00
530330006005003,0.00,0.00,1.00
530330006005004,0.00,0.00,1.00
530330006005005,0.00,0.00,1.00
530330006005006,0.00,0.00,1.00
530330006005007,0.00,0.00,1.00
530330006005008,0.00,0.00,1.00
530330006005009,0.00,0.00,1.00
530330006005010,0.00,0.00,1.00
530330006005011,0.00,0.00,1.00
530330006005012,0.00,0.00,1.00
530330006005013,0.00,0.00,1.00
530330006005014,0.00,0.00,1.00
530330006005015,0.00,0.00,1.00
530330006005016,0.00,0.00,1.00
530330006005017,0.00,0.00,1.00
530330006005018,0.00,0.00,1.00
530330006006000,0.00,0.00,1.00
530330006006001,0.00,0.00,1.00
530330006006002,0.00,0.00,1.00
530330006006003,0.00,0.00,1.00
530330006006004,0.00,0.00,1.00
530330006006005,0.00,0.00,1.00
530330006006006,0.00,0.00,1.00
530330006006007,0.00,0.00,1.00
530330006006008,0.00,0.00,1.00
530330006006009,0.00,0.00,1.00
530330006006010,0.00,0.00,1.00
530330006006011,0.00,0.00,1.00
530330007001000,0.00,0.00,1.00
530330007001001,0.00,0.00,1.00
530330007001002,0.00,0.00,1.00
530330007001003,0.00,0.00,1.00
530330007001004,0.00,0.00,1.00
530330007001005,0.00,0.00,1.00
530330007001006,0.00,0.00,1.00
530330007001007,0.00,0.00,1.00
530330007001008,0.00,0.00,1.00
530330007001009,0.00,0.00,1.00
530330007001010,0.00,0.00,1.00
530330007001011,0.00,0.00,1.00
530330007001012,0.00,0.00,1.00
530330007002000,0.00,0.00,1.00
530330007002001,0.00,0.00,1.00
530330007002002,0.00,0.00,1.00
530330007002003,0.00,0.00,1.00
530330007002004,0.00,0.00,1.00
530330007002005,0.00,0.00,1.00
530330007002006,0.00,0.00,1.00
530330007002007,0.00,0.00,1.00
530330007002008,0.00,0.00,1.00
530330007002009,0.00,0.00,1.00
530330007002010,0.00,0.00,1.00
530330007002011,0.00,0.00,1.00
530330007002012,0.00,0.00,1.00
530330007002013,0.00,0.00,1.00
530330007002014,0.00,0.00,1.00
530330007002015,0.00,0.00,1.00
530330007002016,0.00,0.00,1.00
530330007002017,0.00,0.00,1.00
530330007002018,0.00,0.00,1.00
530330007002019,0.00,0.00,1.00
530330007003000,0.00,0.00,1.00
530330007003001,0.00,0.00,1.00
530330007003002,0.00,0.00,1.00
530330007003003,0.00,0.00,1.00
530330007003004,0.00,0.00,1.00
530330007003005,0.00,0.00,1.00
530330007003006,0.00,0.00,1.00
530330007003007,0.00,0.00,1.00
530330007003008,0.00,0.00,1.00
530330007003009,0.00,0.00,1.00
530330007003010,0.00,0.00,1.00
530330007004000,0.00,0.00,1.00
530330007004001,0.00,0.00,1.00
530330007004002,0.00,0.00,1.00
530330007004003,0.00,0.00,1.00
530330007004004,0.00,0.00,1.00
530330007004005,0.00,0.00,1.00
530330007004006,0.00,0.00,1.00
530330007004007,0.00,0.00,1.00
530330007004008,0.00,0.00,1.00
530330007004009,0.00,0.00,1.00
530330007004010,0.00,0.00,1.00
530330007004011,0.00,0.00,1.00
530330007004012,0.00,0.00,1.00
530330007004013,0.00,0.00,1.00
530330007004014,0.00,0.00,1.00
530330007004015,0.00,0.00,1.00
530330007004016,0.00,0.00,1.00
530330007004017,0.00,0.00,1.00
530330008001000,0.00,0.00,1.00
530330008001001,0.00,0.00,1.00
530330008001002,0.00,0.00,1.00
530330008001003,0.00,0.00,1.00
530330008001004,0.00,0.00,1.00
530330008001005,0.00,0.00,1.00
530330008001006,0.00,0.00,1.00
530330008001007,0.00,0.00,1.00
530330008001008,0.00,0.00,1.00
530330008001009,0.00,0.00,1.00
530330008001010,0.00,0.00,1.00
530330008001011,0.00,0.00,1.00
530330008001012,0.00,0.00,1.00
530330008001013,0.00,0.00,1.00
530330008001014,0.00,0.00,1.00
530330008001015,0.00,0.00,1.00
530330008001016,0.00,0.00,1.00
530330008001017,0.00,0.00,1.00
530330008001018,0.00,0.00,1.00
530330008002000,0.00,0.00,1.00
530330008002001,0.00,0.00,1.00
530330008002002,0.00,0.00,1.00
530330008002003,0.00,0.00,1.00
530330008002004,0.00,0.00,1.00
530330008002005,0.00,0.00,1.00
530330008002006,0.00,0.00,1.00
530330008002007,0.00,0.00,1.00
530330008002008,0.00,0.00,1.00
530330008002009,0.00,0.00,1.00
530330008002010,0.00,0.00,1.00
530330008002011,0.00,0.00,1.00
530330008002012,0.00,0.00,1.00
530330008002013,0.00,0.00,1.00
530330008002014,0.00,0.00,1.00
530330008002015,0.00,0.00,1.00
530330008002016,0.00,0.00,1.00
530330008002017,0.00,0.00,1.00
530330008002018,0.00,0.00,1.00
530330008002019,0.00,0.00,1.00
530330009001000,0.00,0.00,1.00
530330009001001,0.00,0.00,1.00
530330009001002,0.00,0.00,1.00
530330009001003,0.00,0.00,1.00
530330009001004,0.00,0.00,1.00
530330009001005,0.00,0.00,1.00
530330009001006,0.00,0.00,1.00
530330009001007,0.00,0.00,1.00
530330009001008,0.00,0.00,1.00
530330009001009,0.00,0.00,1.00
530330009001010,0.00,0.00,1.00
530330009001011,0.00,0.00,1.00
530330009001012,0.00,0.00,1.00
530330009001013,0.00,0.00,1.00
530330009001014,0.00,0.00,1.00
530330009001015,0.00,0.00,1.00
530330009001016,0.00,0.00,1.00
530330009001017,0.00,0.00,1.00
530330009001018,0.00,0.00,1.00
530330009001019,0.00,0.00,1.00
530330009002000,0.00,0.00,1.00
530330009002001,0.00,0.00,1.00
530330009002002,0.00,0.00,1.00
530330009002003,0.00,0.00,1.00
530330009002004,0.00,0.00,1.00
530330009002005,0.00,0.00,1.00
530330009002006,0.00,0.00,1.00
530330009002007,0.00,0.00,1.00
530330009002008,0.00,0.00,1.00
530330009002009,0.00,0.00,1.00
530330009002010,0.00,0.00,1.00
530330009002011,0.00,0.00,1.00
530330009002012,0.00,0.00,1.00
530330009002013,0.00,0.00,1.00
530330009002014,0.00,0.00,1.00
530330009002015,0.00,0.00,1.00
530330009002016,0.00,0.00,1.00
530330009002017,0.00,0.00,1.00
530330009002018,0.00,0.00,1.00
530330009002019,0.00,0.00,1.00
530330009002020,0.00,0.00,1.00
530330009002021,0.00,0.00,1.00
530330009002022,0.00,0.00,1.00
530330009002023,0.00,0.00,1.00
530330009002024,0.00,0.00,1.00
530330009002025,0.00,0.00,1.00
530330009002026,0.00,0.00,1.00
530330009002027,0.00,0.00,1.00
530330009002028,0.00,0.00,1.00
530330009002029,0.00,0.00,1.00
530330009002030,0.00,0.00,1.00
530330010001000,0.00,0.00,1.00
530330010001001,0.00,0.00,1.00
530330010001002,0.00,0.00,1.00
530330010001003,0.00,0.00,1.00
530330010001004,0.00,0.00,1.00
530330010001005,0.00,0.00,1.00
530330010001006,0.00,0.00,1.00
530330010001007,0.00,0.00,1.00
530330010001008,0.00,0.00,1.00
530330010001009,0.00,0.00,1.00
530330010001010,0.00,0.00,1.00
530330010001011,0.00,0.00,1.00
530330010002000,0.00,0.00,1.00
530330010002001,0.00,0.00,1.00
530330010002002,0.00,0.00,1.00
530330010002003,0.00,0.00,1.00
530330010002004,0.00,0.00,1.00
530330010002005,0.00,0.00,1.00
530330010002006,0.00,0.00,1.00
530330010002007,0.00,0.00,1.00
530330010002008,0.00,0.00,1.00
530330010002009,0.00,0.00,1.00
530330010002010,0.00,0.00,1.00
530330010002011,0.00,0.00,1.00
530330011001000,0.00,0.00,1.00
530330011001001,0.00,0.00,1.00
530330011001002,0.00,0.00,1.00
530330011001003,0.00,0.00,1.00
530330011001004,0.00,0.00,1.00
530330011001005,0.00,0.00,1.00
530330011001006,0.00,0.00,1.00
530330011001007,0.00,0.00,1.00
530330011001008,0.00,0.00,1.00
530330011001009,0.00,0.00,1.00
530330011001010,0.00,0.00,1.00
530330011001011,0.00,0.00,1.00
530330011001012,0.00,0.00,1.00
530330011001013,0.00,0.00,1.00
530330011001014,0.00,0.00,1.00
530330011001015,0.00,0.00,1.00
530330011001016,0.00,0.00,1.00
530330011001017,0.00,0.00,1.00
530330011001018,0.00,0.00,1.00
530330011001019,0.00,0.00,1.00
530330011001020,0.00,0.00,1.00
530330011001021,0.00,0.00,1.00
530330011002000,0.00,0.00,1.00
530330011002001,0.00,0.00,1.00
530330011002002,0.00,0.00,1.00
530330011002003,0.00,0.00,1.00
530330011002004,0.00,0.00,1.00
530330011002005,0.00,0.00,1.00
530330011002006,0.00,0.00,1.00
530330011002007,0.00,0.00,1.00
530330011002008,0.00,0.00,1.00
530330011002009,0.00,0.00,1.00
530330011002010,0.00,0.00,1.00
530330011002011,0.00,0.00,1.00
530330011002012,0.00,0.00,1.00
530330011002013,0.00,0.00,1.00
530330011002014,0.00,0.00,1.00
530330011002015,0.00,0.00,1.00
530330011002016,0.00,0.00,1.00
530330011002017,0.00,0.00,1.00
530330011002018,0.00,0.00,1.00
530330011002019,0.00,0.00,1.00
530330012001000,0.00,0.00,1.00
530330012001001,0.00,0.00,1.00
530330012001002,0.00,0.00,1.00
530330012001003,0.00,0.00,1.00
530330012001004,0.00,0.00,1.00
530330012001005,0.00,0.00,1.00
530330012001006,0.00,0.00,1.00
530330012001007,0.00,0.00,1.00
530330012001008,0.00,0.00,1.00
530330012001009,0.00,0.00,1.00
530330012001010,0.00,0.00,1.00
530330012001011,0.00,0.00,1.00
530330012001012,0.00,0.00,1.00
530330012001013,0.00,0.00,1.00
530330012001014,0.00,0.00,1.00
530330012001015,0.00,0.00,1.00
530330012001016,0.00,0.00,1.00
530330012001017,0.00,0.00,1.00
530330012001018,0.00,0.00,1.00
530330012001019,0.00,0.00,1.00
530330012001020,0.00,0.00,1.00
530330012001021,0.00,0.00,1.00
530330012001022,0.00,0.00,1.00
530330012002000,0.00,0.00,1.00
530330012002001,0.00,0.00,1.00
530330012002002,0.00,0.00,1.00
530330012002003,0.00,0.00,1.00
530330012002004,0.00,0.00,1.00
530330012002005,0.00,0.00,1.00
530330012002006,0.00,0.00,1.00
530330012002007,0.00,0.00,1.00
530330012003000,0.00,0.00,1.00
530330012003001,0.00,0.00,1.00
530330012003002,0.00,0.00,1.00
530330012003003,0.00,0.00,1.00
530330012004000,0.00,0.00,1.00
530330012004001,0.00,0.00,1.00
530330012004002,0.00,0.00,1.00
530330012004003,0.00,0.00,1.00
530330012004004,0.00,0.00,1.00
530330012004005,0.00,0.00,1.00
530330012004006,0.00,0.00,1.00
530330012004007,0.00,0.00,1.00
530330012004008,0.00,0.00,1.00
530330012004009,0.00,0.00,1.00
530330012004010,0.00,0.00,1.00
530330012004011,0.00,0.00,1.00
530330012004012,0.00,0.00,1.00
530330012004013,0.00,0.00,1.00
530330012005000,0.00,0.00,1.00
530330012005001,0.00,0.00,1.00
530330012005002,0.00,0.00,1.00
530330012005003,0.00,0.00,1.00
530330012005004,0.00,0.00,1.00
530330012005005,0.00,0.00,1.00
530330012005006,0.00,0.00,1.00
530330012005007,0.00,0.00,1.00
530330012005008,0.00,0.00,1.00
